mysql> SELECT typo3_versionstring,count(host_id) FROM host WHERE typo3_installed = 1 GROUP BY typo3_versionstring;
+---------------------+----------------+
| typo3_versionstring | count(host_id) |
| uni-hannover.de  |       163 |
| uni-koeln.de     |       156 |
| charite.de       |       150 |
| au.dk            |       127 |
| ulaval.ca        |       119 |
| apotheke.ch      |       119 |
| king.edu         |       103 |
| drs.de           |       102 |
+------------------+-----------+
13 rows in set (1.82 sec)


mysql> SELECT m.maintainer_description,COUNT(h.host_id) AS num_hosts FROM server s INNER JOIN cidr c ON ((c.cidr_mask & s.server_ip) = c.cidr_ip) LEFT JOIN host h ON (s.server_id = h.fk_server_id) LEFT JOIN cidr_maintainer m ON (c.fk_maintainer_id = m.maintainer_id) WHERE h.typo3_installed=1 AND m.own_infrastructure GROUP BY c.fk_maintainer_id HAVING num_hosts > 100 ORDER BY num_hosts DESC;
+-------------------------------------------------+-----------+
| maintainer_description                          | num_hosts |
+-------------------------------------------------+-----------+
| Vienna University Computer Center               |       417 |
| Leibniz-Rechenzentrum (LRZ), Germany            |       296 |
| TU Berlin, campus network                       |       245 |
| DENIC eG, Germany                               |       225 |
| Danish Network for Research and Education       |       218 |
| Republic of Slovenia - Ministry of Justice      |       182 |
| Bergische Universitaet Wuppertal                |       181 |
| Gottfried Wilhelm Leibniz Universitaet Hannover |       180 |
| Charite - Universitaetsmedizin Berlin           |       164 |
| Aarhus University, Denmark                      |       163 |
| Universitaet zu Koeln                           |       159 |
| Universite Laval, Canada                        |       131 |
| Bitly Inc., US                                  |       130 |
| Musterhauskuechen                               |       105 |
| King College, Bristol, Tennessee, US            |       104 |
+-------------------------------------------------+-----------+
15 rows in set (13.69 sec)
